12.06.2025                                                                                                         Saída dinâmica de lista                                                                                                                1


	Projeto	Descrição Projeto	 Reserva	Municipio	Recebedor	Tipo movimento	Material	Descrição Material	Unidade	Qtd Necessária	Qtd Pendente	Centro	Depósito	Registro Final	Qtd atend empreiteira
	B-1189041-SUPR	IEM_CORRET_2025_1_109311	14707907	VITÓRIA DA CONQUISTA	3ST001	221	2221016	FIO COBRE   750V       2,50 PT	M	        2,000	      2,000	0610	0659	X	               0,000
	B-1189670-SUPR	IEM_CORRET_2025_2_4219	14717566	BOM JESUS DA LAPA	3ST300	221	3480270	PARAFUSO ABAU SAE1010    M16X    45MM	CDA	        4,000	      4,000	0610	0691		               0,000
	B-1183502-SUPR	IEM_CORRET_2025_1_2710	14748476	IBOTIRAMA	3ST00C	221	0210497	TRAFO 1FF 10KVA 13,8KV 220V 5T VG	CDA	        1,000	      1,000	0610	0640		               0,000
	B-1183502-SUPR	IEM_CORRET_2025_1_2710	14748476	IBOTIRAMA	3ST00C	221	0536779	ELO FUSIVEL 15,0/36,2 KV 1H COBRE	CDA	        1,000	      1,000	0610	0640		               0,000
	B-1189041-SUPR	IEM_CORRET_2025_1_109311	14759598	VITÓRIA DA CONQUISTA	3ST001	222	2230076	CABO MLP ALUM XLPE 3X1X35/35MM2 N ISO.	M	       41,000	     41,000	0610	0659	X	               0,000
	B-1193690-SUPR	IEM_CORRET_2025_2_46159	14787066	SANTA MARIA DA VITOR	3ST300	221	3480270	PARAFUSO ABAU SAE1010    M16X    45MM	CDA	        4,000	      4,000	0610	0691		               0,000
	B-1193579-SUPR	IEM_CORRET_2024_10_12365	14787777	ITAPETINGA	3ST001	221	2210005	FIO ALUMINIO COBERTO 10MM.	M	        4,500	      4,500	0610	0659		               0,000
	B-1193579-SUPR	IEM_CORRET_2024_10_12365	14787777	ITAPETINGA	3ST001	221	3422049	GRAMPO ANCORAGEM CUNHA 35MM2	CDA	        3,000	      3,000	0610	0659		               0,000
	B-1193579-SUPR	IEM_CORRET_2024_10_12365	14787777	ITAPETINGA	3ST001	221	3431721	LACO PREF TOPO 35 MM2 PROTEGIDO	CDA	        3,000	      3,000	0610	0659		               0,000
	B-1193579-SUPR	IEM_CORRET_2024_10_12365	14787777	ITAPETINGA	3ST001	221	3480340	PARAFUSO CAB QUAD ACO  16X 550	CDA	        3,000	      3,000	0610	0659		               0,000
	B-1193944-SUPR	IEM_CORRET_2025_2_45238	14821835	ITAPETINGA	3ST001	221	2221000	FIO COBRE 750V  0,75	M	        1,000	      1,000	0610	0659		               0,000
	B-1193944-SUPR	IEM_CORRET_2025_2_45238	14821835	ITAPETINGA	3ST001	221	2300000	ISOLADOR ROLDANA PORC  76,0MM  1350DAN.	CDA	        1,000	      1,000	0610	0659		               0,000
	B-1193944-SUPR	IEM_CORRET_2025_2_45238	14821835	ITAPETINGA	3ST001	221	3417025	ARMACAO SECUN ACO CARB 1 ESTR.150X 110MM	CDA	        1,000	      1,000	0610	0659		               0,000
	B-1193944-SUPR	IEM_CORRET_2025_2_45238	14821835	ITAPETINGA	3ST001	221	3431760	LACO PREF ROLD 35 MM2 AS NI CAL	CDA	        1,000	      1,000	0610	0659		               0,000
	B-1193944-SUPR	IEM_CORRET_2025_2_45238	14821835	ITAPETINGA	3ST001	221	3493315	ARRUELA LIS QUAD SAE1020 M18	CDA	        1,000	      1,000	0610	0659		               0,000
	B-1181679-SUPR	IEM_CORRET_2024_12_41087	14884688	ITAPETINGA	3ST001	222	2230076	CABO MLP ALUM XLPE 3X1X35/35MM2 N ISO.	M	      400,500	    400,500	0610	0659		               0,000
	B-1181679-SUPR	IEM_CORRET_2024_12_41087	14884688	ITAPETINGA	3ST001	222	2230084	CABO MLP ALUM XLPE 3X1X70/50MM2 N ISO	M	      500,000	    465,266	0610	0659		              34,734
	B-1186210-SUPR	IEM_CORRET_2025_1_46538	14884831	ITAPETINGA	3ST001	222	2230076	CABO MLP ALUM XLPE 3X1X35/35MM2 N ISO.	M	        6,100	      6,100	0610	0659		               0,000
	B-1193994-SUPR	IEM_CORRET_2025_2_60754	14885040	VITÓRIA DA CONQUISTA	3ST001	222	2230073	CABO MLP ALUM XLPE 2X1X35/35MM2 N ISO	M	      300,000	    300,000	0610	0659		               0,000
	B-1197953-SUPR	IEM_CORRET_2025_3_46109	14890931	LUIS EDUARDO MAGALHÃ	3ST400	221	2660001	FITA ISOLANTE -CLASSE A PT 750V 19MM 20M	CDA	        1,000	      1,000	0610	0693		               0,000
	B-1139687-SUPR	MP MAR/24 UTD LUIS EDUARDO MAGALH (40)	14910541	LUIS EDUARDO MAGALHÃ	1BR100	221	0401024	PARA-RAIOS RD    33,00KV  10KA	CDA	        1,000	      1,000	0300		X	               0,000
	B-1193943-SUPR	IEM_CORRET_2025_2_56571	14922231	SANTA MARIA DA VITOR	3ST300	222	2314001	ISOLADOR PILAR PORCELANA 34KV 800DAN	CDA	        3,000	      3,000	0610	0691	X	               0,000
	B-1193943-SUPR	IEM_CORRET_2025_2_56571	14922231	SANTA MARIA DA VITOR	3ST300	222	3340011	CRUZETA FIBRA RETA 90X90 2,4M REFORCADA	CDA	        1,000	      1,000	0610	0691	X	               0,000
	B-1193943-SUPR	IEM_CORRET_2025_2_56571	14922231	SANTA MARIA DA VITOR	3ST300	222	3410080	MAO FRANCESA PLANA ACO  710MM	CDA	        2,000	      2,000	0610	0691	X	               0,000
	B-1193943-SUPR	IEM_CORRET_2025_2_56571	14922231	SANTA MARIA DA VITOR	3ST300	222	3428086	PINO ISOL ACO 16,0MM 168,5X 28,5X 140MM	CDA	        3,000	      3,000	0610	0691	X	               0,000
	B-1193943-SUPR	IEM_CORRET_2025_2_56571	14922231	SANTA MARIA DA VITOR	3ST300	222	3480285	PARAFUSO CAB QUAD ACO  12X125	CDA	        2,000	      2,000	0610	0691	X	               0,000
	B-1193943-SUPR	IEM_CORRET_2025_2_56571	14922231	SANTA MARIA DA VITOR	3ST300	222	3493325	ARRUELA QUAD ACO  38 F14,00	CDA	        2,000	      2,000	0610	0691	X	               0,000
	B-1199179-SUPR	IEM_CORRET_2025_3_62355	14951025	BOM JESUS DA LAPA	3ST300	222	7912007	SUCATA CABO AL S/ALMA	KG	        9,800	      9,800	0610	0691		               0,000
	B-1188586-SUPR	MP FEV/25 UTD BARREIRAS(40)	14966770	BARREIRAS	3ST400	222	2200002	FIO ALUM NU H14/H24 21,15MM2	KG	        5,000	      5,000	0610	0693		               0,000
	B-1188586-SUPR	MP FEV/25 UTD BARREIRAS(40)	14966770	BARREIRAS	3ST400	222	2203008	CABO COBRE NU C2A MD 35 MM2	KG	        5,000	      5,000	0610	0693		               0,000
	B-1188586-SUPR	MP FEV/25 UTD BARREIRAS(40)	14966770	BARREIRAS	3ST400	222	2314003	ISOLADOR PILAR PORC 8KN 15KV/110KV	CDA	        8,000	      8,000	0610	0693		               0,000
	B-1188586-SUPR	MP FEV/25 UTD BARREIRAS(40)	14966770	BARREIRAS	3ST400	222	2322005	ISOLADOR SUSP POLIMERICO 50KN 15kV	CDA	       27,000	     27,000	0610	0693		               0,000
	B-1188586-SUPR	MP FEV/25 UTD BARREIRAS(40)	14966770	BARREIRAS	3ST400	222	2401000	CONETOR CUNHA EST CINZA	CDA	       57,000	     57,000	0610	0693		               0,000
	B-1188586-SUPR	MP FEV/25 UTD BARREIRAS(40)	14966770	BARREIRAS	3ST400	222	2403000	CONETOR ESTRB AL   IMP     2AWG/ 35MM2	CDA	        6,000	      6,000	0610	0693		               0,000
	B-1188586-SUPR	MP FEV/25 UTD BARREIRAS(40)	14966770	BARREIRAS	3ST400	222	2415000	GRAMPO LINHA VIVA BR   120/ 50	CDA	        3,000	      3,000	0610	0693		               0,000
	B-1188586-SUPR	MP FEV/25 UTD BARREIRAS(40)	14966770	BARREIRAS	3ST400	222	3340011	CRUZETA FIBRA RETA 90X90 2,4M REFORCADA	CDA	       29,000	     29,000	0610	0693		               0,000
	B-1188586-SUPR	MP FEV/25 UTD BARREIRAS(40)	14966770	BARREIRAS	3ST400	222	3410030	MAO FRANCESA PERFIL ACO 48X 5,0X 1971MM	CDA	       16,000	     16,000	0610	0693		               0,000
	B-1188586-SUPR	MP FEV/25 UTD BARREIRAS(40)	14966770	BARREIRAS	3ST400	222	3410080	MAO FRANCESA PLANA ACO  710MM	CDA	       10,000	     10,000	0610	0693		               0,000
	B-1188586-SUPR	MP FEV/25 UTD BARREIRAS(40)	14966770	BARREIRAS	3ST400	222	3420090	MANILHA SAPATILHA ACO  5000DAN	CDA	       27,000	     27,000	0610	0693		               0,000
	B-1188586-SUPR	MP FEV/25 UTD BARREIRAS(40)	14966770	BARREIRAS	3ST400	222	3423030	GANCHO SUSP OLHAL   5000DAN	CDA	       27,000	     27,000	0610	0693		               0,000
	B-1188586-SUPR	MP FEV/25 UTD BARREIRAS(40)	14966770	BARREIRAS	3ST400	222	3428086	PINO ISOL ACO 16,0MM 168,5X 28,5X 140MM	CDA	        8,000	      8,000	0610	0693		               0,000
	B-1188586-SUPR	MP FEV/25 UTD BARREIRAS(40)	14966770	BARREIRAS	3ST400	222	3430120	ALCA PREF DIST ALUM 4AWG 430MM	CDA	       27,000	     27,000	0610	0693		               0,000
	B-1188586-SUPR	MP FEV/25 UTD BARREIRAS(40)	14966770	BARREIRAS	3ST400	222	3480285	PARAFUSO CAB QUAD ACO  12X125	CDA	       22,000	     22,000	0610	0693		               0,000
	B-1188586-SUPR	MP FEV/25 UTD BARREIRAS(40)	14966770	BARREIRAS	3ST400	222	3480310	PARAFUSO CAB QUAD ACO  16X 250	CDA	        2,000	      2,000	0610	0693		               0,000
	B-1188586-SUPR	MP FEV/25 UTD BARREIRAS(40)	14966770	BARREIRAS	3ST400	222	3480325	PARAFUSO CAB QUAD ACO  16X 400	CDA	       32,000	     32,000	0610	0693		               0,000
	B-1188586-SUPR	MP FEV/25 UTD BARREIRAS(40)	14966770	BARREIRAS	3ST400	222	3486040	OLHAL P/PARAF FOFO M16-5/8" 5000DAN	CDA	       27,000	     27,000	0610	0693		               0,000
	B-1188586-SUPR	MP FEV/25 UTD BARREIRAS(40)	14966770	BARREIRAS	3ST400	222	3490080	PORCA QUAD SAE1020 MG     M16	CDA	       28,000	     28,000	0610	0693		               0,000
	B-1188586-SUPR	MP FEV/25 UTD BARREIRAS(40)	14966770	BARREIRAS	3ST400	222	3493315	ARRUELA LIS QUAD SAE1020 M18	CDA	       75,000	     74,000	0610	0693		               1,000
	B-1188586-SUPR	MP FEV/25 UTD BARREIRAS(40)	14966770	BARREIRAS	3ST400	222	3493325	ARRUELA QUAD ACO  38 F14,00	CDA	       22,000	     22,000	0610	0693		               0,000
	B-1176390-SUPR	IEM_CORRET_2024_11_90930	14971278	BOM JESUS DA LAPA	3ST300	222	2202040	CABO ALUM NU CAA 4AWG 1F SWAN.	KG	       14,000	     14,000	0610	0691	X	               0,000
	B-1176390-SUPR	IEM_CORRET_2024_11_90930	14971278	BOM JESUS DA LAPA	3ST300	222	2230076	CABO MLP ALUM XLPE 3X1X35/35MM2 N ISO.	M	       36,160	     36,160	0610	0691	X	               0,000
	B-1202017-SUPR	IEM_CORRET_2025_4_32963	14988009	ITAPETINGA	3ST001	221	0211233	TRAFO 3F 45KVA 34,5KV 380/220V 3T VG	CDA	        1,000	      1,000	0610	0659		               0,000
	B-1189943-SUPR	IEM_CORRET_2025_2_8181	15047707	ITAPETINGA	3ST400	221	2230084	CABO MLP ALUM XLPE 3X1X70/50MM2 N ISO	M	      150,000	     50,000	0610	0693		             100,000
	B-1205012-SUPR	IEM_CORRET_2025_4_79185	15050583	BOM JESUS DA LAPA	3ST300	221	3480305	PARAFUSO CAB QUAD ACO  16X 200	CDA	        4,000	      4,000	0610	0691		               0,000
	B-1204908-SUPR	IEM_CORRET_2025_05_6205	15059629	VITÓRIA DA CONQUISTA	3ST001	221	3480350	PARAFUSO CAB QUAD ACO  20X 350	CDA	        6,000	      6,000	0610	0659		               0,000
	B-1205135-SUPR	IEM_CORRET_2025_4_78845	15061947	JEQUIÉ	3ST002	222	3340011	CRUZETA FIBRA RETA 90X90 2,4M REFORCADA	CDA	        2,000	      2,000	0610	0660		               0,000
	B-1205322-SUPR	IEM_CORRET_2025_5_20866	15065628	SANTA MARIA DA VITOR	3ST300	221	3480305	PARAFUSO CAB QUAD ACO  16X 200	CDA	        2,000	      2,000	0610	0691		               0,000
	B-1205695-SUPR	IEM_Corret_2025_5_28808	15068955	BOM JESUS DA LAPA	3ST300	221	3340011	CRUZETA FIBRA RETA 90X90 2,4M REFORCADA	CDA	        3,000	      1,000	0610	0691	X	               2,000
	B-1205695-SUPR	IEM_Corret_2025_5_28808	15068955	BOM JESUS DA LAPA	3ST300	221	3410080	MAO FRANCESA PLANA ACO  710MM	CDA	        6,000	      4,000	0610	0691	X	               2,000
	B-1205695-SUPR	IEM_Corret_2025_5_28808	15068955	BOM JESUS DA LAPA	3ST300	221	3480285	PARAFUSO CAB QUAD ACO  12X125	CDA	        6,000	      2,000	0610	0691	X	               4,000
	B-1205695-SUPR	IEM_Corret_2025_5_28808	15068955	BOM JESUS DA LAPA	3ST300	221	3493325	ARRUELA QUAD ACO  38 F14,00	CDA	        6,000	      4,000	0610	0691	X	               2,000
	B-1198702-SUPR	IEM_CORRET_2024_10_59064	15082056	VITÓRIA DA CONQUISTA	3ST001	222	0210457	TRAFO 3F 30KVA 13,8KV 220/127V 5T VG	CDA	        1,000	      1,000	0610	0659		               0,000
	B-1206638-SUPR	IEM_CORRET_2025_5_32262	15107660	BARREIRAS	3ST400	221	2300000	ISOLADOR ROLDANA PORC  76,0MM  1350DAN.	CDA	        4,000	      4,000	0610	0693		               0,000
	B-1206638-SUPR	IEM_CORRET_2025_5_32262	15107660	BARREIRAS	3ST400	221	2314003	ISOLADOR PILAR PORC 8KN 15KV/110KV	CDA	        1,000	      1,000	0610	0693		               0,000
	B-1206638-SUPR	IEM_CORRET_2025_5_32262	15107660	BARREIRAS	3ST400	221	2401006	CONETOR CUNHA EST BR/VM	CDA	        2,000	      1,000	0610	0693		               1,000
	B-1206638-SUPR	IEM_CORRET_2025_5_32262	15107660	BARREIRAS	3ST400	221	2403000	CONETOR ESTRB AL   IMP     2AWG/ 35MM2	CDA	        1,000	      1,000	0610	0693		               0,000
	B-1206638-SUPR	IEM_CORRET_2025_5_32262	15107660	BARREIRAS	3ST400	221	2412000	CONETOR PERF  35,0-150,0/ 35,0-150,0	CDA	        4,000	      3,000	0610	0693		               1,000
	B-1206638-SUPR	IEM_CORRET_2025_5_32262	15107660	BARREIRAS	3ST400	221	2412001	CONETOR PERF  16,0- 95,0/  4,0- 35,0	CDA	       12,000	      6,000	0610	0693		               6,000
	B-1206638-SUPR	IEM_CORRET_2025_5_32262	15107660	BARREIRAS	3ST400	221	3417025	ARMACAO SECUN ACO CARB 1 ESTR.150X 110MM	CDA	        4,000	      4,000	0610	0693		               0,000
	B-1206638-SUPR	IEM_CORRET_2025_5_32262	15107660	BARREIRAS	3ST400	221	3430546	ALCA PREF RAM LIG 35MM N. ISOL	CDA	        4,000	      3,000	0610	0693		               1,000
	B-1206638-SUPR	IEM_CORRET_2025_5_32262	15107660	BARREIRAS	3ST400	221	3480315	PARAFUSO CAB QUAD. ACO  16X 300	CDA	        4,000	      3,000	0610	0693		               1,000
	B-1201617-SUPR	IEM_CORRET_2025_4_8790	15114041	ITAPETINGA	3ST001	221	2300000	ISOLADOR ROLDANA PORC  76,0MM  1350DAN.	CDA	        1,000	      1,000	0610	0659		               0,000
	B-1201617-SUPR	IEM_CORRET_2025_4_8790	15114041	ITAPETINGA	3ST001	221	3417025	ARMACAO SECUN ACO CARB 1 ESTR.150X 110MM	CDA	        1,000	      1,000	0610	0659		               0,000
	B-1201617-SUPR	IEM_CORRET_2025_4_8790	15114041	ITAPETINGA	3ST001	221	3480305	PARAFUSO CAB QUAD ACO  16X 200	CDA	        1,000	      1,000	0610	0659		               0,000
	B-1201617-SUPR	IEM_CORRET_2025_4_8790	15114041	ITAPETINGA	3ST001	221	3480310	PARAFUSO CAB QUAD ACO  16X 250	CDA	        1,000	      1,000	0610	0659		               0,000
	B-1197986-SUPR	IEM_CORRET_2025_3_38526	15134446	ITAPETINGA	3ST001	221	2230076	CABO MLP ALUM XLPE 3X1X35/35MM2 N ISO.	M	      112,000	     38,500	0610	0659		              73,500
	B-1197986-SUPR	IEM_CORRET_2025_3_38526	15134446	ITAPETINGA	3ST001	221	2401006	CONETOR CUNHA EST BR/VM	CDA	        8,000	      8,000	0610	0659		               0,000
	B-1197986-SUPR	IEM_CORRET_2025_3_38526	15134446	ITAPETINGA	3ST001	221	2412000	CONETOR PERF  35,0-150,0/ 35,0-150,0	CDA	       16,000	     16,000	0610	0659		               0,000
	B-1197986-SUPR	IEM_CORRET_2025_3_38526	15134446	ITAPETINGA	3ST001	221	2412003	CONETOR PERF  10,0- 35,0/  1,5-  6,0	CDA	       30,000	     30,000	0610	0659		               0,000
	B-1176717-SUPR	IEM_CORRET_2024_11_78126	15142618	IBOTIRAMA	3ST00C	222	2230076	CABO MLP ALUM XLPE 3X1X35/35MM2 N ISO.	M	       90,000	     90,000	0610	0640		               0,000
	B-1206111-SUPR	IEM_CORRET_2025_5_24979	15143624	LUIS EDUARDO MAGALHÃ	3ST300	221	2412000	CONETOR PERF  35,0-150,0/ 35,0-150,0	CDA	        4,000	      4,000	0610	0691		               0,000
	B-1206111-SUPR	IEM_CORRET_2025_5_24979	15143624	LUIS EDUARDO MAGALHÃ	3ST300	221	3431760	LACO PREF ROLD 35 MM2 AS NI CAL	CDA	        1,000	      1,000	0610	0691		               0,000
	B-1184589-SUPR	IEM_CORRET_2025_1_28647	15144123	GUANAMBI	3ST700	221	0210418	TRAFO 1FF 25KVA 13,8KV 440/220V 5T MI	CDA	        1,000	      1,000	0610	0692		               0,000
	B-1184589-SUPR	IEM_CORRET_2025_1_28647	15144123	GUANAMBI	3ST700	221	0400057	PARA-RAIOS RD 12KV 10KA	CDA	        2,000	      2,000	0610	0692		               0,000
	B-1184589-SUPR	IEM_CORRET_2025_1_28647	15144123	GUANAMBI	3ST700	221	0536778	ELO FUSIVEL 15,0/36,2 KV 0,5H COBRE.	CDA	        2,000	      2,000	0610	0692		               0,000
	B-1184589-SUPR	IEM_CORRET_2025_1_28647	15144123	GUANAMBI	3ST700	221	2203008	CABO COBRE NU C2A MD 35 MM2	KG	        3,000	      3,000	0610	0692		               0,000
	B-1184589-SUPR	IEM_CORRET_2025_1_28647	15144123	GUANAMBI	3ST700	221	2401006	CONETOR CUNHA EST BR/VM	CDA	        1,000	      1,000	0610	0692		               0,000
	B-1183590-SUPR	IEM_CORRET_2024_11_50969	15144245	ITAPETINGA	3ST001	221	3480335	PARAFUSO CAB QUAD ACO  16X 500	CDA	        3,000	      3,000	0610	0659		               0,000
	B-1204629-SUPR	IEM_CORRET_2025_4_67425	15145197	ITAPETINGA	3ST001	221	2230076	CABO MLP ALUM XLPE 3X1X35/35MM2 N ISO.	M	      100,000	    100,000	0610	0659		               0,000
	B-1204629-SUPR	IEM_CORRET_2025_4_67425	15145197	ITAPETINGA	3ST001	221	2230084	CABO MLP ALUM XLPE 3X1X70/50MM2 N ISO	M	       45,000	     45,000	0610	0659		               0,000
	B-1204629-SUPR	IEM_CORRET_2025_4_67425	15145197	ITAPETINGA	3ST001	221	2401000	CONETOR CUNHA EST CINZA	CDA	       10,000	      6,000	0610	0659		               4,000
	B-1204629-SUPR	IEM_CORRET_2025_4_67425	15145197	ITAPETINGA	3ST001	221	2401001	CONETOR CUNHA EST VD	CDA	        8,000	      8,000	0610	0659		               0,000
	B-1204629-SUPR	IEM_CORRET_2025_4_67425	15145197	ITAPETINGA	3ST001	221	2412001	CONETOR PERF  16,0- 95,0/  4,0- 35,0	CDA	       20,000	     20,000	0610	0659		               0,000
	B-1204629-SUPR	IEM_CORRET_2025_4_67425	15145197	ITAPETINGA	3ST001	221	2412003	CONETOR PERF  10,0- 35,0/  1,5-  6,0	CDA	       12,000	      9,000	0610	0659		               3,000
	B-1204629-SUPR	IEM_CORRET_2025_4_67425	15145197	ITAPETINGA	3ST001	221	3430546	ALCA PREF RAM LIG 35MM N. ISOL	CDA	        4,000	      4,000	0610	0659		               0,000
	B-1204629-SUPR	IEM_CORRET_2025_4_67425	15145197	ITAPETINGA	3ST001	221	3430549	AlCA PREF DIST GALV  70,00MM2 N. ISOL.	CDA	        2,000	      2,000	0610	0659		               0,000
	B-1176717-SUPR	IEM_CORRET_2024_11_78126	15145437	IBOTIRAMA	3ST00C	222	2230076	CABO MLP ALUM XLPE 3X1X35/35MM2 N ISO.	M	      180,000	    180,000	0610	0640		               0,000
	B-1203564-SUPR	IEM_CORRET_2025_4_9180	15145878	IBOTIRAMA	3ST00C	221	2314001	ISOLADOR PILAR PORCELANA 34KV 800DAN	CDA	        4,000	      4,000	0610	0640		               0,000
	B-1203564-SUPR	IEM_CORRET_2025_4_9180	15145878	IBOTIRAMA	3ST00C	221	3340011	CRUZETA FIBRA RETA 90X90 2,4M REFORCADA	CDA	        2,000	      2,000	0610	0640		               0,000
	B-1203564-SUPR	IEM_CORRET_2025_4_9180	15145878	IBOTIRAMA	3ST00C	221	3341010	POSTE FIBRA CIRC/QUAD 11/600	CDA	        1,000	      1,000	0610	0640		               0,000
	B-1203564-SUPR	IEM_CORRET_2025_4_9180	15145878	IBOTIRAMA	3ST00C	221	3428086	PINO ISOL ACO 16,0MM 168,5X 28,5X 140MM	CDA	        4,000	      4,000	0610	0640		               0,000
	B-1205940-SUPR	IEM_CORRET_2025_5_26526	15145926	IBOTIRAMA	3ST00C	222	2230076	CABO MLP ALUM XLPE 3X1X35/35MM2 N ISO.	M	       80,000	     80,000	0610	0640		               0,000
	B-1205940-SUPR	IEM_CORRET_2025_5_26526	15145926	IBOTIRAMA	3ST00C	222	2401006	CONETOR CUNHA EST BR/VM	CDA	       16,000	     16,000	0610	0640		               0,000
	B-1205940-SUPR	IEM_CORRET_2025_5_26526	15145926	IBOTIRAMA	3ST00C	222	3430520	ALCA PREF SERV AS AL 35 MM2 NI	CDA	        4,000	      4,000	0610	0640		               0,000
	B-1184345-SUPR	IEM_CORRET_2025_1_1494	15146126	LUIS EDUARDO MAGALHÃ	3ST400	222	0211190	TRAFO 1FF 10KVA 34,5KV 220V 3T MI	CDA	        1,000	      1,000	0610	0693		               0,000
	B-1209502-SUPR	IEM_CORRET_2025_5_45398	15147777	BARREIRAS	3ST400	221	0210378	TRAFO 3F 45KVA 13,8KV 380/220V 5T MI	CDA	        1,000	      1,000	0610	0693		               0,000
	B-1209502-SUPR	IEM_CORRET_2025_5_45398	15147777	BARREIRAS	3ST400	221	0400057	PARA-RAIOS RD 12KV 10KA	CDA	        2,000	      2,000	0610	0693		               0,000
	B-1209502-SUPR	IEM_CORRET_2025_5_45398	15147777	BARREIRAS	3ST400	221	0536780	ELO FUSIVEL 15,0/36,2 KV 2H COBRE	CDA	        6,000	      6,000	0610	0693		               0,000
	B-1209502-SUPR	IEM_CORRET_2025_5_45398	15147777	BARREIRAS	3ST400	221	2203008	CABO COBRE NU C2A MD 35 MM2	KG	        2,500	      2,500	0610	0693		               0,000
	B-1209502-SUPR	IEM_CORRET_2025_5_45398	15147777	BARREIRAS	3ST400	221	2206000	CABO NU ACO-COBRE  2 AWG	KG	        1,500	      1,500	0610	0693		               0,000
	B-1209502-SUPR	IEM_CORRET_2025_5_45398	15147777	BARREIRAS	3ST400	221	2223464	CABO COBRE XLPE 35MM2 1F PRETO.	M	        8,000	      8,000	0610	0693		               0,000
	B-1209502-SUPR	IEM_CORRET_2025_5_45398	15147777	BARREIRAS	3ST400	221	2401000	CONETOR CUNHA EST CINZA	CDA	        4,000	      4,000	0610	0693		               0,000
	B-1209502-SUPR	IEM_CORRET_2025_5_45398	15147777	BARREIRAS	3ST400	221	2401006	CONETOR CUNHA EST BR/VM	CDA	        2,000	      2,000	0610	0693		               0,000
	B-1209502-SUPR	IEM_CORRET_2025_5_45398	15147777	BARREIRAS	3ST400	221	2412001	CONETOR PERF  16,0- 95,0/  4,0- 35,0	CDA	        4,000	      4,000	0610	0693		               0,000
	B-1205142-SUPR	IEM_CORRET_2025_5_11014	15148794	JEQUIÉ	3ST002	222	3340011	CRUZETA FIBRA RETA 90X90 2,4M REFORCADA	CDA	        1,000	      1,000	0610	0660		               0,000
